,index,model,label,top1_acc,f1_macro,mcc,precision,recall,nu_class,nu_test,nu_train
0,0,embedding_nammu,class,0.6545624753646039,0.272395001738882,0.4560578054285215,0.43338832427194734,0.2598392461126122,34.0,20296,81180
0,0,embedding_glm,class,0.5544934962554198,0.12191022675333357,0.23855448931565365,0.21984083462201193,0.11509546870072909,34.0,20296,81180
0,0,embedding_nammu,order,0.37124208860759494,0.18611941607864502,0.2927659060421909,0.22766774490045574,0.20201081938733367,68.0,20224,80893
0,0,embedding_glm,order,0.26611946202531644,0.09223127731809462,0.1642745564269897,0.11982736071648838,0.11091942715278431,68.0,20224,80893
0,0,embedding_nammu,family,0.29301819620253167,0.12747637722897517,0.24197773124886843,0.16041405982093215,0.15525610299371329,111.0,20224,80893
0,0,embedding_glm,family,0.2003065664556962,0.06484847440066197,0.13650221618094116,0.07596176452392328,0.08223370821575265,111.0,20224,80893
0,0,embedding_nammu,genus,0.22614945357881264,0.0940663898371745,0.1956261879785884,0.10647623491851728,0.12207778946516382,165.0,20314,81252
0,0,embedding_glm,genus,0.132420990449936,0.04914875349194951,0.0956650710251945,0.05306937257716077,0.0689793206976456,165.0,20314,81252
0,0,embedding_nammu,species,0.17110489922024422,0.07055382010846527,0.1532229573727641,0.07420678244369254,0.10666739774269217,224.0,20391,81563
0,0,embedding_glm,species,0.09872002353979697,0.0417860153848675,0.07936308464369067,0.04238579666828917,0.05972655579075399,224.0,20391,81563
