,index,model,label,top1_acc,f1_macro,mcc,precision,recall,nu_class,nu_test,nu_train
0,0,embedding_nammu,class,0.8703215603584608,0.5444237789404268,0.7782026298225792,0.6668580825074384,0.5446964733076792,22.0,1897,7587
0,0,embedding_glm,class,0.6884554559831313,0.22648955218237007,0.3930328715315467,0.4311287721799154,0.2051493408722303,22.0,1897,7587
0,0,embedding_nammu,order,0.544016868740116,0.4121886457887842,0.48515564965468755,0.5215290148221428,0.42907363801821924,40.0,1897,7586
0,0,embedding_glm,order,0.34053769109119664,0.1567254012413478,0.23634048157588394,0.23391759398239872,0.18355364347195235,40.0,1897,7586
0,0,embedding_nammu,family,0.5081707959936742,0.3794974734066301,0.46022918424845016,0.48357266895545375,0.4149893045221288,52.0,1897,7585
0,0,embedding_glm,family,0.2988929889298893,0.14759760876679995,0.2135452456871909,0.219736628536925,0.17729914379343087,52.0,1897,7585
0,0,embedding_nammu,genus,0.43354430379746833,0.33121407604953973,0.3991348962744921,0.41014536832566206,0.3850168170375203,60.0,1896,7582
0,0,embedding_glm,genus,0.23734177215189872,0.146826651602336,0.18414541588204697,0.18793560661729286,0.18508262724951166,60.0,1896,7582
0,0,embedding_nammu,species,0.29377637130801687,0.25415724766676107,0.2750618627028353,0.3248589733641207,0.3210485956127008,70.0,1896,7580
0,0,embedding_glm,species,0.16930379746835442,0.14043247899183614,0.14330382215648393,0.18493962161958447,0.1771351607566612,70.0,1896,7580
